wgt,female,age,educ,inc_q,emp_in,urbanicity,account_fin,account_mob,account,dig_account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,receive_agriculture,merchantpay_dig,pay_utilities,domestic_remittances,anydigpayment,fin2,fin17a,fin17c,fin19,fin20,fin22a,fin22b,fin22d,fin22e,fin22f,fin24,fin24a,fin24b,fin24c,fh1,fh2,fh2a,fin30,fin32,fin37,fin38,fin42,fin45,internet_use,con1,con24
3.115103982,2,18,2,4,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,2,1,2,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,2,3,1,1,1
1.180399109,2,70,1,1,1,1,1,0,1,0,1,0,4,4,4,2,0,2,3,0,2,2,2,2,2,2,2,2,2,1,5,1,1,2,2,2,2,1,2,2,2,1,3,0,1,2
0.458410595,2,65,2,4,2,2,1,0,1,1,0,0,4,4,4,4,0,4,3,0,1,2,2,2,2,2,2,2,2,2,9,,6,2,2,2,2,2,2,2,2,2,8,0,1,2
0.389828127,2,76,2,1,2,1,1,0,1,0,0,0,4,1,4,4,0,4,3,1,2,2,2,2,2,2,2,2,2,2,5,1,1,2,2,2,2,2,2,1,2,2,3,0,1,2
1.412714782,2,49,1,4,1,1,1,0,1,0,1,1,4,1,4,2,0,2,3,1,2,2,2,2,2,1,2,2,1,1,3,2,4,2,2,2,2,1,2,1,2,1,6,0,1,2
0.997560078,1,56,1,2,1,1,1,0,1,0,1,1,1,1,4,1,0,4,2,1,2,1,2,2,2,1,2,2,2,2,7,,1,2,1,1,2,2,1,1,2,1,3,0,1,2
1.738476712,2,47,2,3,1,1,1,0,1,0,1,0,2,4,4,4,0,4,3,0,2,2,2,2,2,2,1,1,2,1,4,1,1,2,2,2,2,2,1,2,2,2,4,0,1,2
0.61950204,1,36,1,5,2,2,1,0,1,1,1,1,4,3,4,4,0,2,3,0,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,1,0,1,2
0.731360069,1,41,2,1,2,1,1,0,1,1,1,0,4,1,4,4,0,1,2,1,1,2,2,2,2,1,2,2,2,2,7,,1,2,2,1,2,1,2,1,2,2,4,0,1,2
0.62530857,2,27,2,5,1,1,1,1,1,1,1,0,1,4,4,4,1,4,1,1,1,2,2,2,1,1,1,1,1,1,4,2,4,1,1,1,1,2,1,2,2,2,2,1,1,1
0.290521958,1,52,2,2,1,2,0,0,0,0,1,0,2,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,1,3,1,1,2,2,2,2,2,1,2,2,2,5,0,1,2
0.330628573,2,70,2,1,2,1,1,0,1,0,1,0,4,3,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,1,7,,5,2,2,2,2,2,2,1,2,2,1,0,1,2
0.580059732,1,61,1,4,2,1,1,0,1,0,0,1,4,4,4,4,0,4,3,0,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,4,0,1,2
0.871408707,2,60,2,5,1,2,1,0,1,0,1,0,1,4,4,4,0,2,3,1,2,2,2,2,2,1,2,2,2,1,5,1,3,1,2,2,1,1,1,2,2,2,3,0,1,2
0.3601153,1,35,2,5,2,2,1,0,1,1,1,0,4,4,4,4,0,1,3,1,2,2,2,2,2,2,2,2,2,1,4,1,1,2,2,2,2,1,2,2,2,2,4,1,1,1
1.639675987,1,32,2,5,1,1,1,0,1,1,0,1,1,4,4,4,0,4,3,1,1,1,2,2,2,2,2,2,2,2,5,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1
3.115103982,2,42,1,1,1,1,1,0,1,0,1,0,2,1,4,4,0,4,3,1,2,2,2,2,2,1,1,2,2,1,5,1,2,2,2,2,2,2,1,1,2,2,4,0,1,2
0.255334862,2,60,2,5,2,2,1,0,1,0,0,0,1,4,1,4,0,4,3,1,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2,1,2,1,2,3,0,1,2
2.281970789,1,38,2,2,2,1,1,0,1,0,1,1,1,4,4,4,0,4,3,1,1,2,1,1,2,1,1,2,2,1,4,2,1,2,2,2,2,2,1,2,2,2,5,1,1,1
