"year","economy","economycode","regionwb","pop_adult","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity","account_fin","account_mob","account","dig_account","borrowed","saved","receive_wages","receive_transfers","receive_pensions","receive_agriculture","merchantpay_dig","pay_utilities","domestic_remittances","anydigpayment","fin2","fin3","fin4","fin5","fin6","fin8","fin9a","fin9b","fin10","fin17a","fin17c","fin18","fin19","fin20","fin22a","fin22b","fin22d","fin22e","fin22f","fin23","fin24","fin24a","fin24b","fin24c","fin25e1","fin25e2","fin25e4","fin26a","fin26b","fh1","fh2","fh2a","fin30","fin32","fin37","fin38","fin42","fin45","internet_use","con1","con9","con11","con12","con14","con17","con18","con20","con21","con23","con24","con25"
2024,"Sri Lanka","LKA","South Asia",17109247,199219032,3.11510398249258,2,18,2,4,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,3,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,1,1,1,2,1,1,2,1,1,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,198351809,1.18039910947582,2,70,1,1,1,1,1,0,1,0,1,0,4,4,4,2,0,2,3,0,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,1,1,2,2,2,4,2,2,2,2,2,1,2,2,2,1,3,0,1,2,1,1,2,3,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,154927413,0.458410594514716,2,65,2,4,2,2,1,0,1,1,0,0,4,4,4,4,0,4,3,0,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,1,6,2,2,2,4,2,2,2,2,2,2,2,2,2,2,8,0,1,1,1,1,1,2,1,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,163419972,0.389828127399401,2,76,2,1,2,1,1,0,1,0,0,0,4,1,4,4,0,4,3,1,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,1,2,2,2,4,2,2,2,2,2,2,2,1,2,2,3,0,1,2,1,3,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,177096160,1.41271478224466,2,49,1,4,1,1,1,0,1,0,1,1,4,1,4,2,0,2,3,1,2,2,1,3,3,1,2,2,2,2,2,1,2,2,1,2,2,1,1,2,3,2,4,2,2,2,4,2,2,2,2,2,1,2,1,2,1,6,0,1,2,1,1,1,1,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,138172401,0.997560078331223,1,56,1,2,1,1,1,0,1,0,1,1,1,1,4,1,0,4,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,7,2,1,2,2,2,4,2,2,1,1,2,2,1,1,2,1,3,0,1,2,8,1,2,4,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,208201694,1.7384767119144,2,47,2,3,1,1,1,0,1,0,1,0,2,4,4,4,0,4,3,0,2,2,1,3,3,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,4,1,1,2,2,2,4,2,2,2,2,2,2,1,2,2,2,4,0,1,1,1,1,1,2,1,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,137331670,0.619502040351913,1,36,1,5,2,2,1,0,1,1,1,1,4,3,4,4,0,2,3,0,1,1,1,2,5,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,4,2,2,2,2,2,1,2,1,2,2,1,0,1,2,2,1,1,1,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,119647398,0.731360068549547,1,41,2,1,2,1,1,0,1,1,1,0,4,1,4,4,0,1,2,1,1,1,1,2,2,2,1,2,3,2,2,2,2,2,1,2,2,2,2,2,7,1,1,2,2,2,4,2,2,2,1,2,1,2,1,2,2,4,0,1,1,1,1,1,1,1,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,160434617,0.62530857004398,2,27,2,5,1,1,1,1,1,1,1,0,1,4,4,4,1,4,1,1,1,1,1,3,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,4,2,4,1,1,1,4,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,133060262,0.290521958026627,1,52,2,2,1,2,0,0,0,0,1,0,2,4,4,4,0,4,3,0,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,1,2,2,2,4,2,2,2,2,2,2,1,2,2,2,5,0,1,2,1,1,2,8,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,205574516,0.330628572972623,2,70,2,1,2,1,1,0,1,0,1,0,4,3,4,4,0,4,3,0,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,7,1,5,2,2,2,4,2,2,2,2,2,2,2,1,2,2,1,0,1,2,1,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,172950114,0.580059732474223,1,61,1,4,2,1,1,0,1,0,0,1,4,4,4,4,0,4,3,0,1,2,2,3,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,0,1,2,2,1,2,1,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,134006127,0.871408707223215,2,60,2,5,1,2,1,0,1,0,1,0,1,4,4,4,0,2,3,1,2,2,1,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,5,1,3,1,2,2,4,2,2,2,2,1,1,1,2,2,2,3,0,1,1,1,1,2,1,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,127850184,0.360115300060405,1,35,2,5,2,2,1,0,1,1,1,0,4,4,4,4,0,1,3,1,2,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,1,2,2,2,4,2,2,2,2,2,1,2,2,2,2,4,1,1,1,2,1,1,2,1,2,2,2,1,2
